vendor,dimension,options,evidence_passage,source_docs,code
Proctorio,noface_flag,automatic_flag | proctor_alert | not_documented,"""Face detection is used to detect the presence of one or more human faces or if the test-taker has left the exam for any reason."" [proctorio_faq]",proctorio_faq,automatic_flag
Proctorio,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,"""If they have enabled Live Verify ID then a Proctorio live proctor will compare your image to the image on your ID card at the beginning of the exam in real time. Once your identity is validated you will be allowed to enter the exam."" [proctorio_faq]",proctorio_faq,blocks_entry
Proctorio,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""Proctorio's software does not perform any type of algorithmic decision making, such as determining if a breach of exam integrity has occurred. All decisions regarding exam integrity are left up to the exam administrator or institution."" [proctorio_faq]",proctorio_faq,instructor_review
Proctorio,human_review,yes_documented | not_documented,"""All decisions regarding exam integrity are left up to the exam administrator or institution."" [proctorio_faq]",proctorio_faq,yes_documented
Proctorio,lighting_burden,yes | no,,proctorio_faq,no
Proctorio,bias_acknowledgment,acknowledged | deflected | silent,"""Unlike some competitors, Proctorio only uses face detection and gaze detection which cannot uniquely identify an individual's face."" / ""No. Proctorio does not use biometric analysis like facial recognition, keystroke fingerprinting, voice recognition, etc."" [proctorio_faq]",proctorio_faq,deflected
Respondus,noface_flag,automatic_flag | proctor_alert | not_documented,"""During an online exam, Respondus Monitor will warn students when their face cannot be detected by the webcam."" / ""This reduces the likelihood of students being flagged"" [respondus_enhancedflagging]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,automatic_flag
Respondus,id_gate,blocks_entry | flag_proceed | human_fallback | not_documented,,respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,not_documented
Respondus,consequence_path,suspicion_score | vendor_review | instructor_review | not_documented,"""Respondus Monitor is a fully automated proctoring solution. Students use a webcam to record themselves during an online exam. Afterward, flagged events and proctoring results are available to the instructor for further review."" [respondus_monitor]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,instructor_review
Respondus,human_review,yes_documented | not_documented,"""flagged events and proctoring results are available to the instructor for further review"" [respondus_monitor]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,yes_documented
Respondus,lighting_burden,yes | no,"""Respondus Monitor will now detect a very darkly lit environment (or a glaringly bright one) and prompt the student to make a correction. This reduces the chance of a student being flagged"" [respondus_enhancedflagging]",respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,yes
Respondus,bias_acknowledgment,acknowledged | deflected | silent,,respondus_monitor|respondus_enhancedflagging|respondus_studentexperience,acknowledged
