institution,vendor,candidate_year,source_url,snippet,verified,confirmed_year,notes
Georgia State University,EAB,2011|2012,https://success.gsu.edu/approach/,"Melt Summer Success Academy Financial Management Center College To Career News Talks Resources Staff Contact Introducing the NISS Approach Approach Leading With Predictive Analytics Georgia State was one of the first universities to sign on with the Education Advisory Board in 2011, and we began the",,,
University of Wisconsin System,EAB,2018|2023,https://www.wisconsin.edu/ss-eab-project/,institutions to support data-driven processes and decisions and ensure improved student success System Investment UW System Board of Regents approved the initial investment in December 2018 to lower the cost to four UW institutions already using the EAB system at the time and to provide an affordabl,,,
University of Wisconsin System,EAB,2018|2023|2028,https://www.wisconsin.edu/ss-eab-project/,"nvestment UW System Board of Regents approved the initial investment in December 2018 to lower the cost to four UW institutions already using the EAB system at the time and to provide an affordable entry for eight additional UW institutions to adopt Navigate, which now is called Navigate360. The Boa",,,
University of Wisconsin System,EAB,2018|2023|2028,https://www.wisconsin.edu/ss-eab-project/,"egents approved the initial investment in December 2018 to lower the cost to four UW institutions already using the EAB system at the time and to provide an affordable entry for eight additional UW institutions to adopt Navigate, which now is called Navigate360. The Board of Regents in June 2023 app",,,
University of Wisconsin System,EAB,2023|2028,https://www.wisconsin.edu/ss-eab-project/,"itutions already using the EAB system at the time and to provide an affordable entry for eight additional UW institutions to adopt Navigate, which now is called Navigate360. The Board of Regents in June 2023 approved the renewal and extension of the EAB contract for another five years from Dec. 31, ",,,
University of Wisconsin System,EAB,2023|2028,https://www.wisconsin.edu/ss-eab-project/,"l and extension of the EAB contract for another five years from Dec. 31, 2023, through Dec. 30, 2028. The investment aligns with the UW System 2023-2028 Strategic Plan , including to ""champion student success across the higher education life cycle."" Navigate360 supports advising—particularly 360 Adv",,,
University of Wisconsin System,EAB,2025,https://www.wisconsin.edu/ss-eab-project/,W-Stevens Point How do students use Navigate360? Navigate360 at UW Universities UW-Eau Claire UW-Green Bay UW-La Crosse UW-Milwaukee UW-Oshkosh UW-Parkside UW-Platteville UW-River Falls UW-Stevens Point UW-STOUT POLYTECHNIC UW-SUPERIOR UW-Whitewater Navigate360 News and Resources for Faculty and Sta,,,
University of Wisconsin System,EAB,2024|2025,https://www.wisconsin.edu/ss-eab-project/,r Falls UW-Stevens Point UW-STOUT POLYTECHNIC UW-SUPERIOR UW-Whitewater Navigate360 News and Resources for Faculty and Staff Check professional development opportunities at Meetings (wisconsin.edu) . Find resources from the Universities of Wisconsin Navigate360 2025 workshop at Workshop (wisconsin.e,,,
University of Wisconsin System,EAB,2024|2025,https://www.wisconsin.edu/ss-eab-project/,"ate360 News and Resources for Faculty and Staff Check professional development opportunities at Meetings (wisconsin.edu) . Find resources from the Universities of Wisconsin Navigate360 2025 workshop at Workshop (wisconsin.edu) . Follow updates about EAB&#8217;s Oct. 13-15, 2025, CONNECTED conference",,,
University of Wisconsin System,EAB,2024|2025,https://www.wisconsin.edu/ss-eab-project/,"al development opportunities at Meetings (wisconsin.edu) . Find resources from the Universities of Wisconsin Navigate360 2025 workshop at Workshop (wisconsin.edu) . Follow updates about EAB&#8217;s Oct. 13-15, 2025, CONNECTED conference at connected.eab.com . Find recordings and PPTs from the 2024-2",,,
University of Wisconsin System,EAB,2026,https://www.wisconsin.edu/ss-eab-project/,. Learn about the Universities of Wisconsin work to support holistic advising at 360 Advising|wisconsin.edu . Universities of Wisconsin About Us All In Wisconsin Our Campuses Board of Regents Office of the President Offices News Contact Us All Sites Navigate Resource Center About Us Meetings Project,,,
University of Wisconsin System,EAB,2020,https://www.wisconsin.edu/news/archive/uw-system-launching-advising-initiative-to-increase-student-success-news-summary/,"the way it delivers student advising to help ensure student success, especially for underrepresented students of color, first-generation students, and low-income students. In December, the Board of Regents entered into a five-year contract with the Education Advisory Board (EAB) to use the company’s",,,
University of Wisconsin System,EAB,2020,https://www.wisconsin.edu/news/archive/uw-system-launching-advising-initiative-to-increase-student-success-news-summary/,"nt advising to help ensure student success, especially for underrepresented students of color, first-generation students, and low-income students. In December, the Board of Regents entered into a five-year contract with the Education Advisory Board (EAB) to use the company’s Navigate Student Success",,,
University of Wisconsin System,EAB,2020,https://www.wisconsin.edu/news/archive/uw-system-launching-advising-initiative-to-increase-student-success-news-summary/,"student success, especially for underrepresented students of color, first-generation students, and low-income students. In December, the Board of Regents entered into a five-year contract with the Education Advisory Board (EAB) to use the company’s Navigate Student Success Collaborative software to ",,,
University of Wisconsin System,EAB,2020,https://www.wisconsin.edu/news/archive/uw-system-launching-advising-initiative-to-increase-student-success-news-summary/,"success, especially for underrepresented students of color, first-generation students, and low-income students. In December, the Board of Regents entered into a five-year contract with the Education Advisory Board (EAB) to use the company’s Navigate Student Success Collaborative software to improve ",,,
University of Wisconsin System,EAB,2013,https://www.wisconsin.edu/news/archive/uw-system-launching-advising-initiative-to-increase-student-success-news-summary/,"s know they’re in trouble,” said John Koker, Provost at UW-Oshkosh. “Traditional advising treats all students the same. This allows us to put students in different categories with targeted support,” he said. At UW-Milwaukee, which began working with Navigate in the 2013-14 academic year, officials s",,,
