state_abbr,educator_mandate,educator_bar,teacher_seat,rule_detail,rule_source
AL,0,1,none,"educator employed within 5 yrs of election ineligible; board employees ineligible","Ala. Code 16-3-2; NASBE matrix 2024"
AK,0,0,none,"gov-appointed; military rep + student advisor nonvoting","NASBE matrix 2024"
AZ,1,0,voting,"statutory seats incl a classroom teacher, HS-district & county superintendents, university & CC heads","A.R.S. 15-201; EdWeek 2018 (voting teacher)"
AR,0,0,advisory,"current Teacher of the Year serves in advisory (nonvoting) capacity","EdWeek 2018; NASBE"
CA,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
CO,0,1,none,"member may not be a school-district employee/officer while serving","Colo. Const. art. IX; NASBE matrix 2024"
CT,1,0,none,"mandates >=2 manufacturing/trade members + 1 vocational-agriculture member","Conn. Gen. Stat. 10-1; SDE roster 2025"
DE,1,0,advisory,"2 of 7 must have prior local-board experience; nonvoting former-TOY (still teaching) seat","14 Del. C. 104; EdWeek 2018"
DC,0,0,none,"elected board","NASBE matrix 2024"
FL,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
GA,0,0,advisory,"no board seat for teachers; convenes a teacher advisory council instead","EdWeek 2018 (GA named among prohibiting states)"
HI,0,0,none,"gov-appointed; student + military-liaison nonvoting","NASBE matrix 2024"
ID,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
IL,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
IN,1,0,none,">=6 of 11 members must have professional experience in education","Ind. Code 20-19-2-2; NASBE; EdWeek 2018"
IA,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
KS,0,0,none,"elected; no educator mandate or bar","NASBE matrix 2024"
KY,0,0,advisory,"nonvoting active elem/secondary teacher + nonvoting student","KRS 156.029; MDE roster 2025"
LA,0,0,none,"8 elected + 3 gov-appointed; no educator mandate or bar","NASBE matrix 2024"
ME,0,0,none,"gov-appointed; no educator mandate or bar","20-A M.R.S. 401; NASBE"
MD,0,0,voting,"one voting teacher member elected by educators (added by SB529, 2019)","Md. Educ. 2-202; 2019 Md. Laws ch. (SB529)"
MA,1,0,none,"mandates a parent, a labor, and a business representative","M.G.L. c.15 1E; BESE roster 2025"
MI,0,0,none,"elected at large; no educator mandate or bar","Mich. Const. art. VIII; NASBE"
MS,0,0,voting,"gov-appointed; statute mandates one public-school teacher and one administrator among appointees","Miss. Code 37-1-2; EdWeek 2018 (voting teacher)"
MO,0,1,advisory,"members may not be connected as official/employee with any school/college; a teacher advisory seat (2018) sat vacant for years","Sec. 161.026 RSMo; Missouri Independent 2025"
MT,0,0,none,"gov-appointed","NASBE matrix 2024"
NE,0,1,none,"person actively engaged in the teaching profession is ineligible","Neb. Rev. Stat. 79-313; NASBE"
NV,1,0,voting,"among 3 appointed voting members, statute mandates a public-school teacher (NSEA list), a parent, and a business member","NRS 385.021"
NH,0,1,none,"members may not be technical educators or professionally engaged in school work (since 1919)","RSA 21-N:10"
NJ,1,0,none,"of 13 members, at least 3 must be women (stakeholder mandate; no educator mandate)","N.J.S.A. 18A:4-4"
NY,0,0,none,"Regents elected by legislature; no educator mandate or bar","N.Y. Educ. Law 202; NASBE"
NC,0,0,advisory,"2 current Teachers of the Year serve as nonvoting advisors","N.C.G.S. 115C-11; NASBE"
OH,0,1,none,"member may not be an employee of a school while serving","Ohio Rev. Code 3301.03; NASBE"
OK,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
OR,1,0,none,"of at-large members, one must be a licensed teacher and one a classified school employee","ORS 326.021"
PA,0,0,none,"gov-appointed + legislative members; no educator mandate or bar","NASBE matrix 2024"
RI,0,0,advisory,"nonvoting teacher (Teacher of the Year) + nonvoting student on the Council","R.I.G.L. 16-97-2; NASBE"
SC,0,0,none,"appointed by legislative delegations; no educator mandate or bar","S.C. Code 59-5-10; NASBE"
SD,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
TN,0,0,voting,"gov/legislative-appointed; one voting teacher member","T.C.A. 49-1-301; EdWeek 2018 (voting teacher)"
TX,0,0,none,"elected; no educator mandate or bar","Tex. Educ. Code 7.101; NASBE"
UT,0,0,none,"elected; no educator mandate or bar","NASBE matrix 2024"
VT,0,0,none,"gov-appointed; no educator mandate or bar","16 V.S.A. 161; NASBE"
VA,0,0,none,"gov-appointed; no educator mandate or bar","NASBE matrix 2024"
WA,0,0,none,"hybrid (elected by local boards + gov-appointed); no educator mandate or bar","RCW 28A.305; NASBE"
WV,0,1,none,"members may hold no other public office or public employment","W.Va. Code 18-2-1; NASBE"
WY,1,0,voting,"membership includes one certified teacher and one school administrator","W.S. 21-2-102; EdWeek 2018 (voting teacher)"
